public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
mohammedmoin-sadeq-moain-sadeq-a4572285;7;;Fulbright Program, USA;01-01-2002;Fulbright Grant: A research and teaching grant at the University of Chicago, Department of the Near and Middle Eastern Languages and Civilizations.
mohammedmoin-sadeq-moain-sadeq-a4572285;8;;Bureau of Education and Cultural Affairs, US Department of State, Washington DC, USA.;01-01-2000;Museums and Cultural Heritage Award from the Bureau of Education and Cultural Affairs, US Department of State, Washington DC, USA.
mohammedmoin-sadeq-moain-sadeq-a4572285;9;;Deutscher Academischer Austauschdienst (German Academic Exchange Program), Germany.;01-01-1984;A research grant from the Deutscher Academischer Austauschdienst (German Academic Exchange Program), Germany.
fcharest;1;05-000;Department of Mathematics and Statistics, Universit\u00e9 de Montr\u00e9al;01-11-2011;Academic excellence, research potential, leadership and communication prize.
fcharest;2;;NSERC;01-01-2009;Also:NSERC Canada Graduate Scholarship (M.Sc.)NSERC Undergraduate Student Research Award
fcharest;3;00-08;Ecole normale superieure de Lyon;01-09-2008;null
fcharest;4;;New York University;01-09-2008;null
fcharest;5;02-500;Department of Physics, Universit\u00e9 de Montr\u00e9al;01-01-2005;Communication prize.
mel-w-57905170;1;;-;01-04-2013;Maintained recognizable average throughout degree
mel-w-57905170;2;;University of Western Ontario, Faculty of Health Sciences;01-04-2010;Awarded for achieving the highest cumulative academic average in my graduating class
annapouls;1;;Managing Director of Aramco Overseas Company;01-06-2013;For my role in event strengthening business relations with suppliers
annapouls;2;;City of Rotterdam;01-03-2012;Chosen out of approximately 350 graduating students to be the public representative to receive this symbolic certificate
annapouls;3;15-2019;The Hague School of European Studies (2004);01-08-2004;In addition, academic thesis presentation delivered in English, Spanish, French (2004)
annapouls;4;;Miss Hall's School;01-05-2000;null
annapouls;5;;Miss Hall's School;01-05-1999;Recognition for excellence in French language studies
annapouls;6;;Hamilton College;01-05-1999;Recognition for excellence in literature
annapouls;7;;Chatham College;01-01-1999;Recognition for excellence in Science or English and passion for the environment
annapouls;8;;Cum Laude Society for academic excellence;01-01-1999;null
annapouls;9;;United States Congress;01-01-1998;Public-private partnership created by Congress to promote and recognize achievement, initiative, and service of youth in the USA
annapouls;10;;The Mount (Edith Wharton's Home);01-01-1998;First place winner and prize of $500
hua-lu-2b781425;1;2020;Scotiabank Digital Banking;01-12-2020;null
gregstewart79;1;;Brock University;01-04-2003;Academic achievement award signifying a minimum 80%% average in all Major courses over all years of study and a minimum 70%% in each elective completed.
cwalford;1;2014-50;Deloitte;01-04-2014;null
cwalford;2;2013-50;Deloitte;01-03-2013;null
halahawa;1;;Retail Council of Canada;01-01-2003;Award received in Toronto, Ontario, Canada
halahawa;2;;Chain Store Age;01-01-2003;Award received at Dallas, Texas, USA
halahawa;3;;Canada Post;01-01-2003;Award received in Ottawa, Ontario, Canada
halahawa;4;;Visual Merchandising and Store Design Magazine;01-01-2002;Award received in NY, NY, USA
halahawa;5;;Toast Masters International;01-01-1998;Public Speaking, award received in Ottawa, Ontario, Canada
joel-springer-259211104;1;;Brandon University;01-01-2012;null
joel-springer-259211104;2;;Brandon University;01-01-2008;null
anas-hamwi-45b49280;1;;-;01-08-2009;Received Department of Engineering Entrance Scholarship.
dnsheng;1;;UNESCO Chair Reorienting Education towards Sustainability Indigenous and ESD International Research Network;01-04-2019;For creating a data and communication management system to facilitate the International Research Project \u201cReorienting Education and Training Systems to Improve the Lives of Indigenous Youth\u201d led by the UNESCO Chair at York University Toronto, Canada.
rosa-pham-078208132;1;;-;01-04-2020;null
rosa-pham-078208132;2;;-;null;null
rosa-pham-078208132;3;2019;-;null;null
rosa-pham-078208132;4;;-;null;null
noemie-lessard;1;00-09;Coll\u00e8ge de Maisonneuve;01-04-2014;J'ai \u00e9t\u00e9 l'\u00e9l\u00e8ve de ma promotion avec les meilleurs r\u00e9sultats scolaires (meilleure cote R) pour l'ensemble de mon programme en Gestion de commerces. Je me suis d\u00e9marqu\u00e9e par mon excellence et mon implication.
jet-zhang-7b069785;1;10;The Government of Shaanxi Province, China;01-10-2009;null
stewartleese;1;;-;null;Promax Gold:  Art Direction and design key art - Cartoon Network Canada Launch - 2013
stewartleese;2;;-;null;null
stewartleese;3;;-;null;Promax Silver: Sports program promotion - Curling Rock / CBC Sports - 2005Promax Gold:  Day Parts Programming - After school block / CBC Kids - 2004Promax Silver: Sports Program Campaign - Salt Lake Olympics / CBC Sports - 2003Aurora Awards Platinum: Best of Show \u2013 VIP Campaign \u2013 Rogers - 2002
stewartleese;4;;-;null;null
stewartleese;5;;-;null;null
stewartleese;6;;-;null;null
stewartleese;7;;-;null;null
nicole-s-schmidt;1;05-06;University of Toronto;01-09-2019;Awarded for scholarship, character, leadership and high academic marks in Civil Engineering at the University of Toronto.
nicole-s-schmidt;2;;-;01-04-2019;null
nicole-s-schmidt;3;;University of Toronto;01-09-2017;Awarded for academic excellence.
eliciadurtnall;1;2015;-;01-04-2015;The mobile design award was given for my work on the ios application called Helpr.
gilles-mathieu-73ba6465;1;;Scouts Canada;01-02-2020;Awarded for providing a local Beaver colony on 3 separate nights learn about gear selection and winter camp prep.
kenfach;1;;Canadian Regional Design Awards;01-01-2014;Bow Valley College Transit RiddlesDesigned and produced in-house by Bow Valley College Marketing & CommunicationsDave McLean, Acting Director of Marketing and CommunicationsKen Fach, Sr. Graphic DesignerSarah Jackson, DesignerAllison Goodall, Designerhttp://www.redgees.ca/2013-2/ab-nwt/
kenfach;2;;Canadian Council for the Advancement of Education;01-06-2012;Category 10: Best Student Recruitment InitiativeBronze: Turn Your Passion into a Career: BVC Advertising CampaignKatherine Cormack, Director of Marketing and CommunicationsDave McLean, Creative Team LeadKen Fach, Senior Graphic DesignerSarah Jackson, Designer/IllustratorNeil Gilbert, Web CoordinatorMeaghan O\u2019Brien, Project Coordinatorhttp://www.ccaecanada.org/index.php/publisher/articleview/frmArticleID/354
mohammedri;1;;Major League Hacks;01-11-2016;null
mohammedri;2;;Sandford Fleming Foundation, University of Waterloo;01-07-2016;null
mohammedri;3;;Dean of Engineering, University of Waterloo;01-06-2016;null
mohammedri;4;;University of Waterloo Faculty of Electrical & Computer Engineering;01-04-2016;null
mohammedri;5;;University of Waterloo Faculty of Electrical & Computer Engineering;01-09-2012;null
mohammedri;6;;University of Waterloo Faculty of Electrical & Computer Engineering;null;null
sheila-cruz-green-oct-75a77651;1;;Mohawk College;01-01-2006;null
sheila-cruz-green-oct-75a77651;2;;Mohawk College;01-01-2006;null
anureet-kaur-3696a4200;1;;-;null;null
mohammedmohsinshaikh;1;;Dean;01-04-2021;Dean's Honours list Dean's Honours list Dean's Honours list Dean's Honours list Best Presentation Award
simon-riel-42619b83;1;2014;Desjardins S\u00e9curit\u00e9 Financi\u00e8re;01-07-2014;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2013.
simon-riel-42619b83;2;2013;Desjardins S\u00e9curit\u00e9 Financi\u00e8re;01-07-2013;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2012.
simon-riel-42619b83;3;2012;Desjardins S\u00e9curit\u00e9 Financi\u00e8re;01-07-2012;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2011.
simon-riel-42619b83;4;2011;Desjardins S\u00e9curit\u00e9 Financi\u00e8re;01-07-2011;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2010.
simon-riel-42619b83;5;2010;Dessjardins S\u00e9curit\u00e9 Financi\u00e8re;01-07-2010;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2009.
simon-riel-42619b83;6;2009;Desjardins S\u00e9curit\u00e9 Financi\u00e8re;01-03-2009;Gala de reconnaissance soulignant les r\u00e9pr\u00e9sentants performants de l'entreprise pour  l'ann\u00e9e 2008.
simon-riel-42619b83;7;00-09-2019;-;null;Prix remis pour le d\u00e9passement des cibles d'affaires pour l'ann\u00e9e 2019.
hyder-t-780942137;1;;-;01-06-2020;For attaining an 80+ average in grade 12
hyder-t-780942137;2;;Stephen Lewis Secondary School;01-06-2020;Presented to a graduate who best exemplifies student equality by taking measures to prevent bullying and promote inclusion within the student body.
hyder-t-780942137;3;;Stephen Lewis;01-06-2020;Awarded to a well rounded student who excels in academics and extracurriculars.
claudie-lessard-90787463;1;;-;01-01-2012;null
olivier-beyer-b89a5837;1;;-;01-09-2008;null
olivier-beyer-b89a5837;2;;Fairmont;01-08-2008;null
olivier-beyer-b89a5837;3;;-;01-12-2004;null
olivier-beyer-b89a5837;4;;-;01-06-2004;null
pratikganatra;1;;-;01-10-2016;TAS is the Tata group's flagship leadership development programme.
pratikganatra;2;;-;01-07-2016;Awarded by the Vice President on 144%% target achievement for retails of a focused product category
mina-marashi;1;03-01;BrainStation;01-12-2019;Competing with 10 other teams in 3D Hackathon hosted by BrainStation, in a team of 10 UX designers, web developers and data scientists, and within 6 hours the objective was to create an informative website for the influencers who want to explore eating places. We created the story, developed the persona, pulled out the relevant data, did wireframing, planned solutions, designed UI elements and implemented an interactive responsive website with a high collaboration and common understanding.See the final result here:https://lnkd.in/gXwhMuXSee the announcement here:https://www.linkedin.com/feed/update/urn:li:activity:6606645584550080512/
don-mahar-1983b52;1;;US National Security Agency (NSA);01-06-2010;null
don-mahar-1983b52;2;;Director General, CSIS Ottawa Region;01-01-2002;null
don-mahar-1983b52;3;02;CSIS Director Ward Elcock;01-01-1999;null
don-mahar-1983b52;4;;FBI Director Louis J. Freeh;01-01-1998;null
don-mahar-1983b52;5;;CSIS Director Ward Elcock;01-01-1994;null
cornel-enescu-44573611;1;2014;Jaguar Land Rover University;01-03-2015;null
alexis-trudel;1;;Concordia University;null;Membership into the Society is by invitation and applies to the top 15%% students of their program.
alexis-trudel;2;;CEGEP - John Abbott College;null;Honor Roll for all semesters.Awarded to students with a final grade average of 80%% or over, in the top 10%% of your program, and no marks under 75%%.
kristin-coady-cpa;1;;Uline Canada Corporation;01-07-2014;null
kristin-coady-cpa;2;;Uline Canada Corporation;01-10-2013;null
anastasiya-gordiychuk-7427621a8;1;;-;01-10-2020;A one-time award, offered for students in good academic standing with an interest in pursuing a career in Journalism.
anastasiya-gordiychuk-7427621a8;2;;University of Toronto;01-09-2020;Students who have achieved a cumulative grade point average (CGPA) of 3.5 or better in their most recent year of study
anastasiya-gordiychuk-7427621a8;3;;University of Toronto;01-09-2019;Students who have achieved a cumulative grade point average (CGPA) of 3.5 or better in their most recent year of study.
bailey-guminny-27998b62;1;;Canadian Sociological Association;01-04-2015;null
ob-design;1;;American Alliance of Museums;01-01-2012;Museum Publications Design Competition
ob-design;2;;Herm\u00e8s et Designboom;01-01-2009;Les Cravates by Herm\u00e8s Contest
harsh-shah-741a71180;1;;University of Calgary;01-09-2017;null
harsh-shah-741a71180;2;;Government of Alberta;01-07-2017;null
catherinecyrwright;1;00-09-00-09-00-09;Lieutenant-Gouverneur du Qu\u00e9bec;01-04-2017;La M\u00e9daille du Lieutenant-gouverneur a pour objet la reconnaissance de l\u2019engagement b\u00e9n\u00e9vole, de la d\u00e9termination et du d\u00e9passement de soi de Qu\u00e9b\u00e9cois et de Qu\u00e9b\u00e9coises qui exercent ou qui ont exerc\u00e9 une influence positive au sein de leur communaut\u00e9 ou de la nation qu\u00e9b\u00e9coise.
catherinecyrwright;2;;Engineers Without Borders Canada;01-01-2016;null
catherinecyrwright;3;;Chaire en d\u00e9veloppement international de l'Universit\u00e9 Laval;01-01-2016;5 000$
catherinecyrwright;4;00-09;Universit\u00e9 Laval;01-01-2015;10 000$
j-roger-bastedo-8520aa6b;1;;-;01-11-2002;Awarded to Canadians who made a significant contribution to their fellow citizens, their community, or to Canada over the previous fifty years.
j-roger-bastedo-8520aa6b;2;;Moose Jaw Little League;01-07-2001;null
jaspreet-ghataura-25a399106;1;2018;Starbucks;null;null
jaspreet-ghataura-25a399106;2;2015;Castlebrooke Secondary School;null;null
hua-yu-ca;1;2014;-;01-03-2014;null
olivier-bergeron-martel-3ab9a875;1;00-02;Ville de Saguenay;01-01-2010;"Ce concours en arts visuels a \u00e9t\u00e9 organis\u00e9 dans le cadre de \""Saguenay, Capitale Culturelle en 2010\"".  Un artiste professionnel et un \u00e9tudiant ont expos\u00e9 leurs oeuvres gagnantes \u00e0 la Galerie S\u00e9quence de Chicoutimi."
olivier-bergeron-martel-3ab9a875;2;00-09-00-09-00;Conseil de Recherche en Sciences Humaines du Canada (C.R.S.H.);01-01-2009;null
olivier-bergeron-martel-3ab9a875;3;;Universit\u00e9 du Qu\u00e9bec \u00e0 Chicoutimi;01-01-2009;null
olivier-bergeron-martel-3ab9a875;4;00-00;Universit\u00e9 du Qu\u00e9bec \u00e0 Chicoutimi;01-01-2008;null
olivier-bergeron-martel-3ab9a875;5;00-09;Fondation Canadienne des Bourses du Mill\u00e9naire;01-01-2007;null
olivier-bergeron-martel-3ab9a875;6;01-16-00-09-00-09;R\u00e9seau Intercoll\u00e9gial des Activit\u00e9s Socioculturelles du Qu\u00e9bec (RIASQ);01-01-2005;null
bailey-henderson-92a7b993;1;2016;-;01-01-2016;One of the top 27 tellers from Ottawa to Kapuskasing (ONE Region)!
bailey-henderson-92a7b993;2;2015;-;01-01-2015;One of the top 22 tellers from Ottawa to Kapuskasing (ONE Region)!
mirkahalamova;1;;BMO Nesbitt Burns;01-06-2017;Recognized for the following attributes:\u2022  Going above and beyond while managing significant form updates to key client-facing forms as part of Anti-Money Laundering and Tax projects\u2022  Taking ownership of the end-to-end project to minimize risks and disruptions for the branches, clients and other team members and ensuring high quality of the end result
mirkahalamova;2;;Ryerson University;01-01-2017;Acknowledgement of professional achievement for successfully completing courses towards the Certificate Program in Project Management.
mirkahalamova;3;;BMO Nesbitt Burns;01-03-2016;Recognized for the following attributes:\u2022 Ambassador for BMO in numerous charitable organizations\u2022 Highly self-motivated, driven, outspoken and team-oriented individual\u2022 Proponent of self-improvement and change management\u2022 Leader amongst her peers who carries a lot of influence among them\u2022 Co-runner of Branch\u2019s Social Committee
jisoo-ha-2567462a;1;50;The Battery Conservancy Americas Design Competition;01-09-2013;Designed NY Kyo, a chair for the Battery Conservancy Americas Design Competition \u201cDraw Up a Chair\u201d, in collaboration with colleague Minghui Cui and made the top 50.
jisoo-ha-2567462a;2;;University of Toronto;01-09-2011;null
jisoo-ha-2567462a;3;;University of Toronto;01-09-2011;Has been a recipient of John and Myrna Daniels Scholars Award since 2011 to 2015
jisoo-ha-2567462a;4;;Syracuse University in Florence;01-05-2010;Winner of the SUF Studio Arts Purchase Prize Award, artwork became a permanent collection atSUF Gallery
jisoo-ha-2567462a;5;;Syracuse University in Florence;01-01-2010;null
jisoo-ha-2567462a;6;;Parsons School of Design;01-09-2007;Had been a recipient of BFA Scholarship at Parsons School of Design from 2007 to 2011
jisoo-ha-2567462a;7;;Parsons School of Design;01-09-2007;Had been on the dean's list at Parsons School of Design from 2007 to 2011
jisoo-ha-2567462a;8;;City of Surrey;01-05-2007;2nd place, artwork was exhibited in Surrey Art Gallery from June to September 2007
mohammedwalidlahmer;1;2012;Google;01-11-2012;"We are the winners of Google Apps Developer Challenge 2012 with our project:\""We-Cloud\""\""We-Cloud\"" is a project management platform based in the cloud that facilitates coordination between the different members of the project teamLink : http://www.google.com/events/gadc2012/winners/"
mbt93;1;;McGill University;01-11-2018;null
mbt93;2;;McGill University;01-03-2017;Awarded on the recommendation of the Department of Biology
mbt93;3;;McGill University;01-01-2017;null
mbt93;4;;Forman Christian College;01-09-2016;Merit scholarship maintained for the length of the bachelors program (4 years)
jarviechristiana;1;;-;01-06-2013;Graduated Journalism at Sheridan College with high honours.
max-davidson-4aa2a817a;1;;Management Team;01-12-2019;Recognition for going above and beyond in the workplace.
melina-amirsharafi;1;;-;01-05-2021;null
melina-amirsharafi;2;;-;01-05-2020;null
melina-amirsharafi;3;;-;01-05-2019;null
melina-amirsharafi;4;12;-;01-06-2018;null
melina-amirsharafi;5;12;-;01-06-2018;null
melina-amirsharafi;6;12;-;01-06-2018;null
melina-amirsharafi;7;12;-;01-06-2018;null
melina-amirsharafi;8;11;-;01-06-2017;null
melina-amirsharafi;9;10;-;01-06-2016;null
anastasiya-antonevich;1;;University of Michigan Law School;01-05-2016;This honor is awarded to the student achieving the highest grade in Jurisdiction and Choice of Law.
anastasiya-antonevich;2;;University of Michigan Law School;01-05-2015;This honor is awarded to the student achieving the highest grade in Chinese Constitutionalism.
berna-tabet-ll-b-7a685647;1;;-;01-09-2009;"Th\u00e8me : Droit criminel - La communication de la preuve et la Directive Duncan (R. c. Illes) :-\tR\u00e9diger et produire le m\u00e9moire de l\u2019appelante et de l\u2019intim\u00e9;-\tPlaider le proc\u00e8s simul\u00e9 devant trois juges au tribunal de la Coupe Gale."
kenny-huiyun-wang;1;;-;01-06-2018;null
kenny-huiyun-wang;2;;-;01-09-2015;null
kenny-huiyun-wang;3;;-;01-06-2015;null
kenny-huiyun-wang;4;;-;01-06-2015;null
meghan-heer-667b35196;1;;Parkinson\u2019s Foundation;01-05-2020;null
meghan-heer-667b35196;2;;-;01-05-2019;null
meghan-heer-667b35196;3;;University of Ottawa, Faculty of Medicine;01-04-2019;null
meghan-heer-667b35196;4;;-;01-05-2018;The Reactive Intermediate Student Exchange (RISE) program is a summer exchange program for undergraduate students in their 2nd or 3rd year of an Honours program in the chemical sciences that provides them with valuable research experience at one of 20 participating Canadian universities.
meghan-heer-667b35196;5;;-;01-04-2018;null
meghan-heer-667b35196;6;;-;01-04-2018;null
meghan-heer-667b35196;7;;-;01-09-2016;null
julie-slichter-6962181a;1;;-;01-01-2001;null
backen-wu-msc-11aa9459;1;32;MS-ESE CREATE;01-01-2015;null
backen-wu-msc-11aa9459;2;98;MS-ESE CREATE;01-01-2015;null
backen-wu-msc-11aa9459;3;;York University;01-01-2014;null
backen-wu-msc-11aa9459;4;;McMaster University;01-01-2013;null
backen-wu-msc-11aa9459;5;02;McMaster University;01-01-2010;null
jamie-mccourt-083775207;1;;-;01-09-2020;null
catherinecosentinocscmp;1;;Medtronic of Canada;01-06-2016;Recognizes Employee Achievements, Contributions & High Results as part of a team - for my role in the cross-functional team in charge of a major business integration - leading the Supply Chain activities for the integration and collaborating across functional areas to minimize impact to customers and maintain service levels to key stakeholders
catherinecosentinocscmp;2;;Medtronic of Canada;01-03-2016;The project was established to integrate 2 new businesses into the transactional flow of the ERP system (SAP).  The team had 13 weeks to integrate the order-to-cash processes of the new businesses into existing Medtronic divisions, including the introduction of product shipment to customers from the Mississauga DC.  I was identified as an individual contributor, working on master data integrity and stocking the warehouse with the approrpriate inventory levels for go live.  As a result of the successful implementation of the project, customer impact due to the transition was low.
catherinecosentinocscmp;3;;Medtronic of Canada;01-07-2015;The Circle of Excellence Awards program recognizes employees who offered an exceptional contribution during the past year while demonstrating a strong alignment with the Medtronic Traits.
catherinecosentinocscmp;4;;McMaster University;null;Scholarship for Academic achievement
catherinecosentinocscmp;5;;McMaster University;null;Awarded for Academic Excellence
meghan-hemstra-955924a8;1;;Langara College;01-12-2014;Community/charitable leadership, cumulative GPA of 3.5 or higher
meghan-hemstra-955924a8;2;;Langara College;01-05-2014;Top 30%% of class in the Professional Photography Program, demonstrated leadership, minimum grad of B or higher in Business
meghan-hemstra-955924a8;3;;Langara College;01-12-2013;Highest GPA in the Photography Program upon completion of the first semester.
deanna-alvarez-9064b7104;1;;ALANA;01-11-2016;null
deanna-alvarez-9064b7104;2;;ALANA;01-11-2014;null
deanna-alvarez-9064b7104;3;;Strategic Communication Department;01-04-2014;null
dueyhur;1;;Daejeon University;01-09-2013;50%% of tuition fee.
dueyhur;2;;Daejeon University;01-01-2013;75%% of  Tuition fee
noemie-perreault;1;;Universities Canada;01-10-2018;Discussed cooperative and integrated learning  with The  Honourable Patricia A. Hajdu, former Minister of Employment, Workforce, Development and Labour, alongside three other university students across Canada.
noemie-perreault;2;;Public Safety Canada;01-05-2017;Awarded a Certificate of Recognition from Malcolm Brown, former Deputy Minister, for my valuable contribution to the department.
jabir-mohamed;1;;-;01-07-2016;Awarded to meritorious applicants wishing to acquire training and pursue research in a biomedical discipline, the health sciences or social sciences related to epilepsy. $16,000.00 between July 2016 - July 2017
jabir-mohamed;2;;Mitacs;01-02-2016;"The Mitacs Globalink Research Award - Campus France provides $10,000 for senior undergraduate and graduate students in Canada to conduct 12-24 week research projects at universities overseas.My proposal \""Investigating the involvement of sleep pathways in absence seizures\"" was selected and I spent 6 months between Dec 2016-July 2017 in France, conducting research at the Grenoble Institut des Neurosciences under the supervision of Dr. Antoine Depaulis."
jabir-mohamed;3;;Savoy Foundation;01-07-2015;"My thesis project received the highest marks from the evaluators; as a result, I received $1,500 and a copy of Jasper's Basic Mechanisms of the Epilepsies, 4th Edition."
jabir-mohamed;4;;Savoy Foundation;01-07-2015;Awarded to meritorious applicants wishing to acquire training and pursue research in a biomedical discipline, the health sciences or social sciences related to epilepsy. $16,000.00 between July 2015 - July 2016
jabir-mohamed;5;;Institute of Medical Science, University of Toronto;01-01-2015;All accepted students with an annual grade point average of A- throughout their undergraduate program will be automatically be awarded the IMS Entrance Award.
scott-lesaux;1;;McKesson Canada;01-04-2019;I\u2019m the recipient of McKesson\u2019s iCare Award, which recognizes employees for proving exceptional customer service. Your company can have absolute trust that I will continue to provide the same exceptionally high level of service to its customers.
scott-lesaux;2;;Head Office;01-01-2018;2018 McKesson iCare Customer Award Recipient for exceeding customer service (Monfort Hospital) expectations.
pulkit-satija;1;;Client - Asset & Wealth Management Firm;01-01-2019;Customer Satisfaction Level - Excellent
pulkit-satija;2;;Senior Vice President - Cognizant BFS;01-12-2016;In depth knowledge of technology and business development.
pulkit-satija;3;;Senior Vice President - Cognizant BFS;01-10-2016;Outsatnding performance in the project.
pulkit-satija;4;;Ansal Institute of Technology;01-05-2013;Certificate of Honour for outstanding performance in the respective field of study.
pulkit-satija;5;;Ansal Institute of Technology;01-12-2012;Certificate of Honour for outstanding performance in the respective field of study.
pulkit-satija;6;;Ansal Institute of Technology;01-05-2012;Certificate of Honour for outstanding performance in the respective field of study.
pulkit-satija;7;;Delhi Public School;01-05-2009;The award is provided for academic excellence for 3 consecutive years.
pulkit-satija;8;;Delhi Public School;01-05-2008;The award is provided for academic excellence.
pulkit-satija;9;;Delhi Public School;01-10-2007;The award is provided for academic excellence.
raffi-keusseyan-ing-71531129;1;;Bell Canada Enterprise;01-03-2014;null
brittany-blaskovits-b14467b2;1;;-;null;null
brittany-blaskovits-b14467b2;2;;-;null;null
brittany-blaskovits-b14467b2;3;;-;null;null
brittany-blaskovits-b14467b2;4;;-;null;null
brittany-blaskovits-b14467b2;5;;-;null;null
brittany-blaskovits-b14467b2;6;;-;null;null
brittany-blaskovits-b14467b2;7;;-;null;null
brittany-blaskovits-b14467b2;8;;-;null;null
brittany-blaskovits-b14467b2;9;;-;null;null
brittany-blaskovits-b14467b2;10;;-;null;null
brittany-blaskovits-b14467b2;11;;-;null;null
gregtelford;1;;-;01-10-2016;During my time as a working professional in the Advertising industry I have developed a strong interest and passion for the strategy side of the business. In an attempt to satisfy my interests and grow my professional skill set I applied to the Beautiful Minds Canada program and was invited to participate.Following a day of presentations from educators, mentors, and industry professionals, the group of aspiring strategists was split into teams and was given the task of writing a creative strategy presentation for the client, Urbery. Urbery is a Toronto-based startup that competes in the online grocery delivery business.My team's strategy presentation was selected to compete against three other finalists in front of a live audience later in the week. In the end, we were not selected as the winners, but I still feel strongly that the program was an invaluable experience and I took away a lot of new skills and advice from it.
rochejim;1;;Governor General of Canada;01-01-2012;null
kenny-hotz-6101a7;1;;Canadian Screen Awards;01-03-2017;Best Original Program or Series produced for Digital Media - Non-Fiction
kenny-hotz-6101a7;2;;Canadian Comedy Awards 2016;01-10-2016;Winner  -Best Short
kenny-hotz-6101a7;3;;The Governor General of Canada;01-08-2013;null
kenny-hotz-6101a7;4;;The Governor General of Canada;01-08-2013;null
kenny-hotz-6101a7;5;;Canadian Screen Awards;01-04-2013;Best Comedy Program or Series - Nominated
kenny-hotz-6101a7;6;;Canadian Screen Awards;01-04-2013;Best Photography in a Comedy Program or Series - Nominated
kenny-hotz-6101a7;7;;Canadian Comedy Awards;01-08-2012;Kenny Hotz - Nominated
kenny-hotz-6101a7;8;;Banff World Media Festival;01-07-2012;Best International Comedy Series - Nominated
kenny-hotz-6101a7;9;;Canadian Comedy Awards;01-07-2012;Best Director in a Comedy Program or Series - Nominated
kenny-hotz-6101a7;10;;Canadian Comedy Award;01-05-2011;Direction of a Special or Episode - Nominated
kenny-hotz-6101a7;11;;Gemini Awards;01-07-2010;Best Ensemble Performance in a Comedy Program or Series - Nomination
kenny-hotz-6101a7;12;;Canadian Comedy Award;01-06-2010;Best Writing - Television Program or Series
kenny-hotz-6101a7;13;;Canadian Comedy Awards;01-04-2010;Best Director in a Comedy Program or Series - Winner
kenny-hotz-6101a7;14;;Gemini Awards;01-05-2009;Best Comedy Writing in a Program or Series - Nomination
kenny-hotz-6101a7;15;;Gemini Awards;01-05-2009;Best Comedy Program or Series - Nomination
kenny-hotz-6101a7;16;;Gemini Awards;01-09-2008;Best Comedy Program or Series - Nomination
kenny-hotz-6101a7;17;;Gemini Awards;01-08-2006;Best Comedy Program or Series - Nomination
kenny-hotz-6101a7;18;;VICE;01-02-2006;Best fiction article of the year award  - Winner
kenny-hotz-6101a7;19;;Brooklyn Film Festival;01-05-2005;Best Feature - Audience award  Winner
kenny-hotz-6101a7;20;;Canadian Filmmakers' Festival;01-04-2005;Best Feature Audience award - Winner
kenny-hotz-6101a7;21;;Gemini Awards;01-07-2004;Best Comedy Program or Series
kenny-hotz-6101a7;22;;Whistler International Film Festival;01-07-2004;Phillip Borsos Award - Winner (Inaugural)
kenny-hotz-6101a7;23;;Hot Docs Canadian International Documentary Festival;01-06-1997;Best Canadian Documentary - Winner
kenny-hotz-6101a7;24;;Hot Docs;01-05-1996;Best Canadian Short subject Documentary Winner
kenny-hotz-6101a7;25;;Rose d'Or Light Entertainment Festival;null;Golden Rose of Montreux - Nominated
lynettedaleturner;1;;Web Marketing Association;01-09-2011;http://www.webaward.org/winner.asp?eid=17450Since 1997, the Web Marketing Association\u2019s annual WebAward Competition has been setting the standard of excellence for Website development. Independent expert judges from around the world review sites in 96 industries. The best are recognized with a WebAward which helps interactive professionals promote themselves, their companies, and their best work to the outside world. The WebAward Competition is the premier award recognition program for Web developers and marketers worldwide.
manar-salman-51a50368;1;2016;-;01-01-2016;Awarded a Bravo points for Excellent Time Management of meeting deadline when dealing with over normal capacity of samples volume with restricted working hours.
manar-salman-51a50368;2;2015;-;01-12-2015;Our Team won Continuous Improvement Awards for implementing new labeling method to Qualitative test results during sample extraction.
manar-salman-51a50368;3;;-;01-01-2008;null
manar-salman-51a50368;4;;-;01-01-2006;null
fr%%C3%%A9d%%C3%%A9ric-fortin-69762015b;1;00-09-00-09-00-09-00-09-00-00;ameublement L\u00e9on;null;r\u00e9cipiendaire du troph\u00e9e  du pr\u00e9sident sant\u00e9- s\u00e9curit\u00e9  au travail pour deux ann\u00e9es  parmis 52 magasins a travers le Canada
kelly-steele-b913961a6;1;2019;Chief Officer Neil Dubois;01-05-2015;null
marco-ho-95794b15a;1;2018-19;Pfizer Corporation Hong Kong Limited;01-07-2019;null
jiny-joseph-417268a1;1;;IBM India;01-05-2013;null
jiny-joseph-417268a1;2;;IBM India;01-07-2011;null
ryahrondolo;1;;CIP;01-08-2020;null
ryahrondolo;2;;UBC;01-11-2019;Awarded $5,000 in recognition of outstanding academic achievement.
